ρ,spec,phi,p,scenario,θpinned,θ_t0,θ_t1,θ_t2,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
0.5,flat,0.5,1.4446979520090033,acute,False,0.6910529501184096,0.7022719958009793,0.6981826017524022,0.2366413336992856,0.1981253633996215,39.251467340083416,0.2377897290186936,0.1961311018325384,38.94828597071089
0.5,flat,0.5,1.4446979520090033,acute,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.2367156940113635,0.198399042014542,39.23726036940161,0.2380955821857736,0.1962390189887816,38.9393985167026
0.5,flat,0.5,1.4446979520090033,baseline,False,0.6910529501184096,0.6920914064207252,0.694514576667274,0.1440399559094357,0.2278461325783049,39.39688771309974,0.2013379854007852,0.2092686869782655,39.1806647890675
0.5,flat,0.5,1.4446979520090033,baseline,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.1440445726618131,0.2278729526394592,39.39581340483068,0.2013786000723835,0.2093484951968883,39.17670602595669
0.5,flat,0.5,1.4446979520090033,frBoth,False,0.3794961762342012,0.8488709730492229,0.8489505498640056,0.110605399036112,0.2402653328823615,41.04648203760547,0.1843149968289671,0.2167152317594187,40.845252598695
0.5,flat,0.5,1.4446979520090033,frBoth,True,0.3794961762342012,0.3794961762342012,0.3794961762342012,0.1074823310050938,0.2645295419929027,40.51368624365663,0.1677394387467666,0.2467055793832155,40.76784576686453
0.5,flat,0.5,1.4446979520090033,frIncome,False,0.3794961762342012,0.8769081013049934,0.8770342562894551,0.1057334252257181,0.2419381446986863,41.13337357226982,0.1825704660287473,0.2173990275759864,40.92476917444726
0.5,flat,0.5,1.4446979520090033,frIncome,True,0.3794961762342012,0.3794961762342012,0.3794961762342012,0.1021163888844343,0.2680676674146386,40.5688704027255,0.1623821688659051,0.2504192770780405,40.87702168718954
0.5,flat,0.5,1.4446979520090033,frLeisure,False,0.6910529501184096,0.6919620767429309,0.6960947802901281,0.1418392739130301,0.2317235663123555,34.782423781162684,0.200360159435526,0.2109521288584761,34.37691828474905
0.5,flat,0.5,1.4446979520090033,frLeisure,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.1418421523549117,0.2317477512496629,34.781646676908814,0.2004078158703633,0.2110706550563538,34.371805949705184
0.5,flat,0.5,1.4446979520090033,frVoting,False,0.6910529501184096,0.6646927272331966,0.666890577222546,0.1472775651132996,0.2265683448432546,39.33647485753417,0.2053166337185882,0.2076959150081892,39.08301686796423
0.5,flat,0.5,1.4446979520090033,frVoting,True,0.6910529501184096,0.6910529501184096,0.6910529501184096,0.1471258422741932,0.2258968048350442,39.36588894683456,0.2045605529446259,0.2072706546060389,39.11155137484984
2.0,flat,0.5,0.1692200490967439,acute,False,0.7331876492883308,0.7641935348965476,0.7661348254158835,0.2215532256520821,0.1817781853769937,39.42528054756925,0.2204172508417817,0.185282255240028,38.91334355865554
2.0,flat,0.5,0.1692200490967439,acute,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.2212398968792403,0.1820140895735572,39.392771455103,0.2202662374566217,0.1854988666033328,38.87854932306731
2.0,flat,0.5,0.1692200490967439,baseline,False,0.7331876492883308,0.733503057632152,0.7508994910213946,0.1443913837967603,0.212181860339902,39.3924801636146,0.191124451877449,0.1976981640958458,39.08794148130982
2.0,flat,0.5,0.1692200490967439,baseline,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.144392752985772,0.2121834033064085,39.39138763956606,0.1909522777175622,0.1978423618787688,39.06972074686411
2.0,flat,0.5,0.1692200490967439,frBoth,False,0.4802260503991003,0.7156980094483392,0.7373148769935084,0.1405397842985576,0.2128279604365291,40.51753952973214,0.1913557312396626,0.1976160505395739,40.16442546640586
2.0,flat,0.5,0.1692200490967439,frBoth,True,0.4802260503991003,0.4802260503991003,0.4802260503991003,0.138704255769091,0.2158607961638745,40.25968386002202,0.1856660650219566,0.2010623270922239,39.95673349652989
2.0,flat,0.5,0.1692200490967439,frIncome,False,0.4802260503991003,1.0,1.0,0.1215358895294551,0.215121714406807,41.05213194567554,0.1877600865764426,0.1971228887719613,40.55979315140996
2.0,flat,0.5,0.1692200490967439,frIncome,True,0.4802260503991003,0.4802260503991003,0.4802260503991003,0.118434869443338,0.2229383494954059,40.46613454709908,0.1666777854596593,0.2067287386164037,40.27817753655478
2.0,flat,0.5,0.1692200490967439,frLeisure,False,0.7331876492883308,0.7334174915133412,0.7509546861802032,0.1450860750584896,0.2094519108346633,35.39818961868406,0.1912929243875288,0.1970732008970572,34.882736512593475
2.0,flat,0.5,0.1692200490967439,frLeisure,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.1450884029404182,0.2094525946655517,35.397288363917355,0.1911203628712717,0.1972169783422051,34.86646723617463
2.0,flat,0.5,0.1692200490967439,frVoting,False,0.7331876492883308,0.4577231641818347,0.469454694247341,0.1580078444872797,0.2076637189282949,38.97081750017021,0.2144022400865267,0.1926832709901507,38.42221822199722
2.0,flat,0.5,0.1692200490967439,frVoting,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.1617416128861223,0.2062714954193036,39.23208182498824,0.2072796981087418,0.1930565806420773,38.813879981680834
2.0,flat,0.5,0.1692200490967439,mild,False,0.7331876492883308,0.7463782139851461,0.758231148812812,0.1809606884363538,0.1972379852137474,39.41044662065703,0.205488190013613,0.1915148444739595,39.0040690289275
2.0,flat,0.5,0.1692200490967439,mild,True,0.7331876492883308,0.7331876492883308,0.7331876492883308,0.1808340884061356,0.1973444150528767,39.39645425690987,0.2052996675133174,0.1917001233796444,38.978204824639576
0.5,scale,0.5,0.9483809161289048,acute,False,0.7382263650417814,0.7739063587248443,0.7629934356639353,0.2385398981142314,0.1973179727182099,39.25986106059513,0.238919054479235,0.1957643539788347,38.94351603466976
0.5,scale,0.5,0.9483809161289048,acute,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.2388523310395141,0.198412526104806,39.20263662826411,0.2402141469279911,0.1962497482751804,38.903782803815965
0.5,scale,0.5,0.9483809161289048,baseline,False,0.7382263650417814,0.7414412609368004,0.7485266209724722,0.1440318538897936,0.228269916055202,39.39993125546339,0.2025913502834936,0.2092240891619505,39.17844028847772
0.5,scale,0.5,0.9483809161289048,baseline,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1440492410732744,0.2283736751064776,39.39575080824141,0.2027544711694288,0.2095158664286881,39.16356168806584
0.5,scale,0.5,0.9483809161289048,frBoth,False,0.4952500607711922,1.0,1.0,0.1172611506654993,0.230688776674596,41.1809217559454,0.1887030402910946,0.2077327771712089,40.87788034890866
0.5,scale,0.5,0.9483809161289048,frBoth,True,0.4952500607711922,0.4952500607711922,0.4952500607711922,0.1153538808056054,0.2563374539921207,40.47238268943099,0.1762714655339316,0.237987364590391,40.59966008257696
0.5,scale,0.5,0.9483809161289048,frIncome,False,0.4952500607711922,1.0,1.0,0.1127358958290763,0.2322665377144096,41.24016270346858,0.188582270573253,0.207936698452483,40.90665695245388
0.5,scale,0.5,0.9483809161289048,frIncome,True,0.4952500607711922,0.4952500607711922,0.4952500607711922,0.1099822703834747,0.2597747833864622,40.52879654200109,0.1709341256786622,0.2415817367538748,40.70974719963334
0.5,scale,0.5,0.9483809161289048,frLeisure,False,0.7382263650417816,0.7407447848298099,0.7534791506827759,0.141818414420944,0.2321570117360984,34.7841967646418,0.2016423740410767,0.2107613265196048,34.37904868690039
0.5,scale,0.5,0.9483809161289048,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.141828125145907,0.2322411779721162,34.78153143168084,0.2018261619900727,0.2112071568887051,34.35950538707889
0.5,scale,0.5,0.9483809161289048,frVoting,False,0.7382263650417814,0.664306433398086,0.670338133933617,0.1478362816427846,0.2286108845211178,39.261369377748885,0.2089847720802557,0.2087405435872806,38.99055139390804
0.5,scale,0.5,0.9483809161289048,frVoting,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1472390527254689,0.2263710546234618,39.364373506780055,0.206053903709616,0.2073919032954491,39.0964959406591
2.0,scale,0.5,0.0856124520441874,acute,False,0.7382263650417816,0.8148636636861111,0.821133865356692,0.2221188253673624,0.1814286448278058,39.4741774374935,0.2207425750262179,0.1849509828649606,38.96743417666335
2.0,scale,0.5,0.0856124520441874,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2213269495993471,0.1820300915693573,39.39135894414736,0.2203547465592328,0.1855136980685685,38.87726543075632
2.0,scale,0.5,0.0856124520441874,baseline,False,0.7382263650417816,0.7389958574086747,0.7821081346235541,0.1443886175720735,0.2121983130478729,39.39415732723044,0.1914525553061667,0.1974857956213801,39.11554109521333
2.0,scale,0.5,0.0856124520441874,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1443925688587002,0.2122015280404723,39.391389735002974,0.191014476784036,0.1978539806295548,39.06904101491413
2.0,scale,0.5,0.0856124520441874,frBoth,False,0.4952500607711927,0.6921426951175002,0.7510538898160206,0.1440553962516725,0.2124889582524202,40.440548192947375,0.1916545185989408,0.1975996230609539,40.16186889527414
2.0,scale,0.5,0.0856124520441874,frBoth,True,0.4952500607711927,0.4952500607711927,0.4952500607711927,0.1422731149346986,0.2144302783566797,40.22748578130299,0.189000165562537,0.1999067763455987,39.90166545999476
2.0,scale,0.5,0.0856124520441874,frIncome,False,0.4952500607711927,1.0,1.0,0.1252967394465575,0.213769822751218,41.02277732484848,0.1906047416206931,0.1961404647798872,40.51674520788488
2.0,scale,0.5,0.0856124520441874,frIncome,True,0.4952500607711927,0.4952500607711927,0.4952500607711927,0.1220993214907367,0.2214307501286693,40.43400618826847,0.1700929124658117,0.2055193251557756,40.22245151204467
2.0,scale,0.5,0.0856124520441874,frLeisure,False,0.7382263650417816,0.7387854131204226,0.7822809227681642,0.1450808646112103,0.2094693792886311,35.3996273795746,0.1916220883714934,0.1968609175159879,34.90742448141552
2.0,scale,0.5,0.0856124520441874,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1450871293124647,0.2094704198396617,35.39734470629439,0.1911827605592422,0.1972285257161593,34.86586985421044
2.0,scale,0.5,0.0856124520441874,frVoting,False,0.7382263650417816,0.2810061844440463,0.2914340383205583,0.1550180515643808,0.2083046927427558,38.78160596668113,0.2207767504741882,0.1919865407792269,38.10111513376629
2.0,scale,0.5,0.0856124520441874,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1617924111587038,0.2062847657798307,39.23129576783072,0.2073851191119393,0.1930650397292418,38.81235815596648
2.0,scale,0.5,0.0856124520441874,mild,False,0.7382263650417815,0.7703720320064674,0.8002865649978164,0.1812010247904097,0.1970936140700619,39.43087315071988,0.2058559016475833,0.1912396156999149,39.04323813928656
2.0,scale,0.5,0.0856124520441874,mild,True,0.7382263650417815,0.7382263650417815,0.7382263650417815,0.1808843407196985,0.1973605709993734,39.395688045501714,0.2053758010154343,0.1917134084097138,38.977197122937305
